vgs ,M0:vdsat vds 0 ,M0:vdsat vds 0.1 ,M0:vdsat vds 0.2 ,M0:vdsat vds 0.3 ,M0:vdsat vds 0.4 ,M0:vdsat vds 0.5 ,M0:vdsat vds 0.6 ,M0:vdsat vds 0.7 ,M0:vdsat vds 0.8 ,M0:vdsat vds 0.9 ,M0:vdsat vds 1 ,M0:vdsat vds 1.1 ,M0:vdsat vds 1.2 ,M0:self_gain vds 0 ,M0:self_gain vds 0.1 ,M0:self_gain vds 0.2 ,M0:self_gain vds 0.3 ,M0:self_gain vds 0.4 ,M0:self_gain vds 0.5 ,M0:self_gain vds 0.6 ,M0:self_gain vds 0.7 ,M0:self_gain vds 0.8 ,M0:self_gain vds 0.9 ,M0:self_gain vds 1 ,M0:self_gain vds 1.1 ,M0:self_gain vds 1.2 ,M0:region vds 0 ,M0:region vds 0.1 ,M0:region vds 0.2 ,M0:region vds 0.3 ,M0:region vds 0.4 ,M0:region vds 0.5 ,M0:region vds 0.6 ,M0:region vds 0.7 ,M0:region vds 0.8 ,M0:region vds 0.9 ,M0:region vds 1 ,M0:region vds 1.1 ,M0:region vds 1.2 ,M0:id vds 0 ,M0:id vds 0.1 ,M0:id vds 0.2 ,M0:id vds 0.3 ,M0:id vds 0.4 ,M0:id vds 0.5 ,M0:id vds 0.6 ,M0:id vds 0.7 ,M0:id vds 0.8 ,M0:id vds 0.9 ,M0:id vds 1 ,M0:id vds 1.1 ,M0:id vds 1.2 ,M0:gmoverid vds 0 ,M0:gmoverid vds 0.1 ,M0:gmoverid vds 0.2 ,M0:gmoverid vds 0.3 ,M0:gmoverid vds 0.4 ,M0:gmoverid vds 0.5 ,M0:gmoverid vds 0.6 ,M0:gmoverid vds 0.7 ,M0:gmoverid vds 0.8 ,M0:gmoverid vds 0.9 ,M0:gmoverid vds 1 ,M0:gmoverid vds 1.1 ,M0:gmoverid vds 1.2 ,M0:gmbs vds 0 ,M0:gmbs vds 0.1 ,M0:gmbs vds 0.2 ,M0:gmbs vds 0.3 ,M0:gmbs vds 0.4 ,M0:gmbs vds 0.5 ,M0:gmbs vds 0.6 ,M0:gmbs vds 0.7 ,M0:gmbs vds 0.8 ,M0:gmbs vds 0.9 ,M0:gmbs vds 1 ,M0:gmbs vds 1.1 ,M0:gmbs vds 1.2 ,M0:gm vds 0 ,M0:gm vds 0.1 ,M0:gm vds 0.2 ,M0:gm vds 0.3 ,M0:gm vds 0.4 ,M0:gm vds 0.5 ,M0:gm vds 0.6 ,M0:gm vds 0.7 ,M0:gm vds 0.8 ,M0:gm vds 0.9 ,M0:gm vds 1 ,M0:gm vds 1.1 ,M0:gm vds 1.2 ,M0:gds vds 0 ,M0:gds vds 0.1 ,M0:gds vds 0.2 ,M0:gds vds 0.3 ,M0:gds vds 0.4 ,M0:gds vds 0.5 ,M0:gds vds 0.6 ,M0:gds vds 0.7 ,M0:gds vds 0.8 ,M0:gds vds 0.9 ,M0:gds vds 1 ,M0:gds vds 1.1 ,M0:gds vds 1.2 ,M0:ft vds 0 ,M0:ft vds 0.1 ,M0:ft vds 0.2 ,M0:ft vds 0.3 ,M0:ft vds 0.4 ,M0:ft vds 0.5 ,M0:ft vds 0.6 ,M0:ft vds 0.7 ,M0:ft vds 0.8 ,M0:ft vds 0.9 ,M0:ft vds 1 ,M0:ft vds 1.1 ,M0:ft vds 1.2 ,M0:cdb vds 0 ,M0:cdb vds 0.1 ,M0:cdb vds 0.2 ,M0:cdb vds 0.3 ,M0:cdb vds 0.4 ,M0:cdb vds 0.5 ,M0:cdb vds 0.6 ,M0:cdb vds 0.7 ,M0:cdb vds 0.8 ,M0:cdb vds 0.9 ,M0:cdb vds 1 ,M0:cdb vds 1.1 ,M0:cdb vds 1.2 ,M0:csb vds 0 ,M0:csb vds 0.1 ,M0:csb vds 0.2 ,M0:csb vds 0.3 ,M0:csb vds 0.4 ,M0:csb vds 0.5 ,M0:csb vds 0.6 ,M0:csb vds 0.7 ,M0:csb vds 0.8 ,M0:csb vds 0.9 ,M0:csb vds 1 ,M0:csb vds 1.1 ,M0:csb vds 1.2 ,M0:cgs vds 0 ,M0:cgs vds 0.1 ,M0:cgs vds 0.2 ,M0:cgs vds 0.3 ,M0:cgs vds 0.4 ,M0:cgs vds 0.5 ,M0:cgs vds 0.6 ,M0:cgs vds 0.7 ,M0:cgs vds 0.8 ,M0:cgs vds 0.9 ,M0:cgs vds 1 ,M0:cgs vds 1.1 ,M0:cgs vds 1.2 ,M0:cgd vds 0 ,M0:cgd vds 0.1 ,M0:cgd vds 0.2 ,M0:cgd vds 0.3 ,M0:cgd vds 0.4 ,M0:cgd vds 0.5 ,M0:cgd vds 0.6 ,M0:cgd vds 0.7 ,M0:cgd vds 0.8 ,M0:cgd vds 0.9 ,M0:cgd vds 1 ,M0:cgd vds 1.1 ,M0:cgd vds 1.2 
0.000,104.9E-3,104.9E-3,104.9E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,0.000,10.24,17.51,18.37,18.63,18.74,18.80,18.83,18.85,18.86,18.87,18.88,18.87,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.293E-12,33.79E-12,47.62E-12,65.61E-12,89.60E-12,121.0E-12,161.2E-12,211.8E-12,274.4E-12,350.5E-12,442.0E-12,551.4E-12,686.3E-12,0.000,31.24,31.25,31.25,31.26,31.26,31.26,31.27,31.27,31.27,31.28,31.28,31.28,0.000,59.58E-12,73.06E-12,86.20E-12,101.2E-12,118.7E-12,139.1E-12,162.9E-12,190.7E-12,223.2E-12,261.2E-12,305.7E-12,357.8E-12,0.000,606.1E-12,748.6E-12,890.3E-12,1.054E-9,1.246E-9,1.472E-9,1.738E-9,2.053E-9,2.423E-9,2.860E-9,3.376E-9,3.985E-9,543.4E-12,59.17E-12,42.75E-12,48.47E-12,56.60E-12,66.50E-12,78.32E-12,92.33E-12,108.9E-12,128.4E-12,151.6E-12,178.9E-12,211.2E-12,0.000,102.3E3,127.4E3,152.6E3,181.7E3,215.8E3,255.9E3,303.0E3,358.7E3,424.3E3,501.7E3,593.2E3,701.1E3,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18,320.3E-18
50.00E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,0.000,10.25,17.52,18.38,18.63,18.75,18.80,18.84,18.86,18.87,18.88,18.88,18.88,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.280E-12,107.0E-12,138.0E-12,173.0E-12,216.7E-12,271.2E-12,338.6E-12,421.2E-12,521.5E-12,642.1E-12,785.9E-12,956.5E-12,1.160E-9,0.000,31.29,31.29,31.30,31.30,31.30,31.31,31.31,31.31,31.32,31.32,31.32,31.33,0.000,280.3E-12,343.8E-12,405.7E-12,476.5E-12,558.8E-12,654.8E-12,766.9E-12,898.0E-12,1.051E-9,1.231E-9,1.440E-9,1.686E-9,0.000,2.898E-9,3.581E-9,4.259E-9,5.043E-9,5.963E-9,7.046E-9,8.322E-9,9.827E-9,11.60E-9,13.70E-9,16.17E-9,19.09E-9,2.594E-9,282.7E-12,204.3E-12,231.8E-12,270.7E-12,318.1E-12,374.7E-12,441.8E-12,521.1E-12,614.8E-12,725.5E-12,856.4E-12,1.011E-9,0.000,487.8E3,607.6E3,728.4E3,868.2E3,1.032E6,1.224E6,1.450E6,1.717E6,2.032E6,2.404E6,2.843E6,3.361E6,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18,320.9E-18
100.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,0.000,10.26,17.53,18.38,18.64,18.75,18.81,18.84,18.86,18.88,18.89,18.89,18.89,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.241E-12,457.6E-12,571.2E-12,688.2E-12,826.8E-12,992.6E-12,1.191E-9,1.428E-9,1.710E-9,2.046E-9,2.443E-9,2.912E-9,3.466E-9,0.000,31.33,31.34,31.34,31.34,31.35,31.35,31.35,31.35,31.36,31.36,31.36,31.36,0.000,1.323E-9,1.623E-9,1.915E-9,2.249E-9,2.638E-9,3.092E-9,3.622E-9,4.241E-9,4.966E-9,5.813E-9,6.805E-9,7.965E-9,0.000,13.89E-9,17.16E-9,20.42E-9,24.18E-9,28.59E-9,33.79E-9,39.91E-9,47.14E-9,55.66E-9,65.72E-9,77.60E-9,91.62E-9,12.41E-9,1.353E-9,979.0E-12,1.111E-9,1.297E-9,1.525E-9,1.796E-9,2.118E-9,2.499E-9,2.948E-9,3.480E-9,4.108E-9,4.851E-9,0.000,2.333E6,2.905E6,3.484E6,4.157E6,4.944E6,5.869E6,6.959E6,8.243E6,9.757E6,11.54E6,13.66E6,16.15E6,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18,321.6E-18
150.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.1E-3,105.1E-3,105.1E-3,0.000,10.27,17.54,18.39,18.65,18.76,18.82,18.85,18.87,18.89,18.89,18.90,18.89,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,8.173E-12,2.140E-9,2.650E-9,3.161E-9,3.756E-9,4.457E-9,5.285E-9,6.264E-9,7.422E-9,8.790E-9,10.41E-9,12.31E-9,14.57E-9,0.000,31.37,31.37,31.38,31.38,31.38,31.38,31.38,31.38,31.38,31.38,31.38,31.38,0.000,6.258E-9,7.677E-9,9.061E-9,10.65E-9,12.49E-9,14.63E-9,17.14E-9,20.07E-9,23.50E-9,27.52E-9,32.21E-9,37.69E-9,0.000,66.69E-9,82.40E-9,98.04E-9,116.1E-9,137.3E-9,162.3E-9,191.7E-9,226.5E-9,267.4E-9,315.7E-9,372.8E-9,440.1E-9,59.53E-9,6.493E-9,4.699E-9,5.331E-9,6.227E-9,7.320E-9,8.625E-9,10.17E-9,12.00E-9,14.16E-9,16.71E-9,19.73E-9,23.29E-9,0.000,11.19E6,13.92E6,16.70E6,19.94E6,23.73E6,28.19E6,33.44E6,39.63E6,46.92E6,55.53E6,65.69E6,77.68E6,717.1E-18,695.1E-18,675.4E-18,657.7E-18,641.6E-18,627.0E-18,613.6E-18,601.3E-18,590.0E-18,579.4E-18,569.7E-18,560.5E-18,552.0E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,717.1E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,372.4E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18,322.2E-18
200.0E-3,105.0E-3,105.0E-3,105.0E-3,105.0E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,0.000,10.27,17.54,18.40,18.65,18.77,18.83,18.86,18.88,18.89,18.90,18.90,18.90,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,8.071E-12,10.22E-9,12.64E-9,15.05E-9,17.83E-9,21.10E-9,24.96E-9,29.50E-9,34.86E-9,41.19E-9,48.65E-9,57.46E-9,67.85E-9,0.000,31.39,31.39,31.39,31.39,31.39,31.39,31.38,31.37,31.37,31.36,31.35,31.33,0.000,29.66E-9,36.39E-9,42.94E-9,50.45E-9,59.16E-9,69.32E-9,81.18E-9,95.04E-9,111.2E-9,130.1E-9,152.2E-9,178.0E-9,0.000,320.5E-9,396.1E-9,471.2E-9,558.1E-9,659.9E-9,779.8E-9,921.0E-9,1.087E-6,1.284E-6,1.515E-6,1.787E-6,2.109E-6,285.8E-9,31.20E-9,22.58E-9,25.61E-9,29.92E-9,35.16E-9,41.42E-9,48.84E-9,57.60E-9,67.94E-9,80.15E-9,94.56E-9,111.6E-9,0.000,53.78E6,66.80E6,80.07E6,95.63E6,113.9E6,135.4E6,160.6E6,190.3E6,225.3E6,266.6E6,315.2E6,372.6E6,717.2E-18,695.1E-18,675.4E-18,657.7E-18,641.7E-18,627.0E-18,613.7E-18,601.4E-18,590.0E-18,579.5E-18,569.7E-18,560.5E-18,552.0E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,717.2E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,374.1E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18,323.0E-18
250.0E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.1E-3,105.2E-3,105.2E-3,105.2E-3,105.2E-3,105.3E-3,105.3E-3,0.000,10.25,17.54,18.40,18.66,18.77,18.83,18.86,18.88,18.90,18.90,18.91,18.90,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,7.929E-12,49.05E-9,60.61E-9,72.10E-9,85.37E-9,100.9E-9,119.2E-9,140.7E-9,166.1E-9,195.9E-9,231.0E-9,272.3E-9,320.8E-9,0.000,31.35,31.35,31.33,31.32,31.29,31.27,31.23,31.20,31.15,31.10,31.04,30.97,0.000,140.4E-9,172.2E-9,203.0E-9,238.3E-9,279.1E-9,326.6E-9,381.8E-9,446.1E-9,521.0E-9,607.9E-9,708.9E-9,826.1E-9,0.000,1.537E-6,1.899E-6,2.258E-6,2.672E-6,3.156E-6,3.724E-6,4.391E-6,5.174E-6,6.094E-6,7.173E-6,8.438E-6,9.920E-6,1.370E-6,150.0E-9,108.3E-9,122.7E-9,143.2E-9,168.1E-9,197.7E-9,232.8E-9,274.0E-9,322.5E-9,379.5E-9,446.3E-9,524.7E-9,0.000,257.2E6,318.9E6,381.6E6,455.3E6,542.0E6,643.7E6,763.0E6,902.8E6,1.067E9,1.259E9,1.485E9,1.749E9,717.5E-18,695.2E-18,675.5E-18,657.8E-18,641.8E-18,627.2E-18,613.8E-18,601.5E-18,590.1E-18,579.6E-18,569.8E-18,560.7E-18,552.1E-18,717.5E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,717.4E-18,378.5E-18,379.0E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.9E-18,378.5E-18,372.3E-18,368.7E-18,362.6E-18,354.9E-18,347.5E-18,341.5E-18,336.7E-18,333.0E-18,330.0E-18,327.6E-18,325.5E-18,323.8E-18
300.0E-3,105.2E-3,105.2E-3,105.3E-3,105.3E-3,105.4E-3,105.4E-3,105.5E-3,105.5E-3,105.6E-3,105.7E-3,105.8E-3,105.9E-3,106.1E-3,0.000,10.12,17.50,18.39,18.65,18.77,18.83,18.86,18.88,18.89,18.90,18.90,18.90,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,7.735E-12,233.8E-9,288.6E-9,342.7E-9,404.8E-9,477.2E-9,561.9E-9,660.8E-9,776.4E-9,911.3E-9,1.069E-6,1.252E-6,1.464E-6,0.000,31.03,31.00,30.93,30.85,30.75,30.63,30.50,30.34,30.17,29.98,29.76,29.52,0.000,654.0E-9,801.0E-9,941.0E-9,1.099E-6,1.281E-6,1.490E-6,1.730E-6,2.005E-6,2.320E-6,2.679E-6,3.087E-6,3.551E-6,0.000,7.254E-6,8.949E-6,10.60E-6,12.49E-6,14.67E-6,17.21E-6,20.15E-6,23.55E-6,27.49E-6,32.02E-6,37.23E-6,43.20E-6,6.481E-6,716.9E-9,511.5E-9,576.5E-9,669.3E-9,781.6E-9,913.8E-9,1.068E-6,1.247E-6,1.455E-6,1.694E-6,1.970E-6,2.286E-6,0.000,1.187E9,1.469E9,1.749E9,2.076E9,2.459E9,2.905E9,3.420E9,4.017E9,4.705E9,5.497E9,6.406E9,7.448E9,719.1E-18,695.9E-18,676.2E-18,658.5E-18,642.4E-18,627.8E-18,614.4E-18,602.1E-18,590.8E-18,580.2E-18,570.4E-18,561.3E-18,552.8E-18,719.1E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,718.5E-18,400.5E-18,403.1E-18,403.0E-18,403.0E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,402.9E-18,400.5E-18,373.7E-18,370.8E-18,365.9E-18,358.8E-18,351.0E-18,344.3E-18,339.0E-18,334.8E-18,331.4E-18,328.7E-18,326.5E-18,324.6E-18
