vsg ,M0:gds lx 1 ,M0:gds lx 2 ,M0:gds lx 3 ,M0:csb lx 1 ,M0:csb lx 2 ,M0:csb lx 3 ,M0:cgs lx 1 ,M0:cgs lx 2 ,M0:cgs lx 3 ,M0:cgd lx 1 ,M0:cgd lx 2 ,M0:cgd lx 3 ,M0:cgg lx 1 ,M0:cgg lx 2 ,M0:cgg lx 3 ,M0:cgb lx 1 ,M0:cgb lx 2 ,M0:cgb lx 3 ,M0:capbs lx 1 ,M0:capbs lx 2 ,M0:capbs lx 3 ,M0:cdb lx 1 ,M0:cdb lx 2 ,M0:cdb lx 3 
0.000,10.84E-9,1.599E-9,611.9E-12,928.4E-18,928.4E-18,928.4E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,413.3E-18,954.1E-18,1.114E-15,1.276E-15,127.6E-18,287.4E-18,449.1E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18
50.00E-3,39.58E-9,6.993E-9,2.924E-9,928.4E-18,928.4E-18,928.4E-18,418.0E-18,418.0E-18,418.0E-18,418.0E-18,418.0E-18,418.0E-18,959.7E-18,1.115E-15,1.271E-15,123.8E-18,278.6E-18,435.2E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18
100.0E-3,145.5E-9,30.82E-9,14.09E-9,928.4E-18,928.4E-18,928.4E-18,421.9E-18,422.0E-18,422.0E-18,421.9E-18,422.0E-18,422.0E-18,964.1E-18,1.115E-15,1.267E-15,120.2E-18,270.6E-18,422.5E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18,928.4E-18
150.0E-3,538.2E-9,136.8E-9,68.38E-9,928.5E-18,928.5E-18,928.6E-18,425.6E-18,425.9E-18,426.0E-18,425.6E-18,425.9E-18,426.0E-18,968.1E-18,1.115E-15,1.263E-15,116.9E-18,263.0E-18,410.6E-18,928.4E-18,928.4E-18,928.4E-18,928.5E-18,928.5E-18,928.6E-18
200.0E-3,1.998E-6,610.1E-9,333.8E-9,929.0E-18,929.2E-18,929.3E-18,431.8E-18,433.5E-18,434.1E-18,431.8E-18,433.5E-18,434.1E-18,976.7E-18,1.122E-15,1.267E-15,113.1E-18,255.1E-18,398.7E-18,928.4E-18,928.4E-18,928.4E-18,929.0E-18,929.2E-18,929.3E-18
250.0E-3,7.401E-6,2.722E-6,1.632E-6,931.3E-18,932.4E-18,932.9E-18,454.1E-18,463.9E-18,468.1E-18,454.1E-18,463.9E-18,468.1E-18,1.015E-15,1.171E-15,1.319E-15,106.3E-18,243.2E-18,382.5E-18,928.4E-18,928.4E-18,928.4E-18,931.3E-18,932.4E-18,932.9E-18
300.0E-3,26.83E-6,11.91E-6,7.842E-6,939.2E-18,945.4E-18,948.8E-18,528.4E-18,584.5E-18,614.6E-18,528.4E-18,584.5E-18,614.6E-18,1.147E-15,1.384E-15,1.575E-15,89.99E-18,214.8E-18,345.7E-18,928.4E-18,928.4E-18,928.4E-18,939.2E-18,945.4E-18,948.8E-18
350.0E-3,90.31E-6,48.13E-6,34.82E-6,951.5E-18,971.6E-18,986.6E-18,648.8E-18,837.5E-18,977.2E-18,648.8E-18,837.5E-18,977.2E-18,1.364E-15,1.839E-15,2.226E-15,66.32E-18,163.8E-18,271.3E-18,928.4E-18,928.4E-18,928.4E-18,951.5E-18,971.6E-18,986.6E-18
400.0E-3,259.3E-6,161.9E-6,126.1E-6,961.0E-18,995.5E-18,1.026E-15,748.7E-18,1.084E-15,1.380E-15,748.7E-18,1.084E-15,1.380E-15,1.545E-15,2.286E-15,2.955E-15,47.86E-18,117.6E-18,194.9E-18,928.4E-18,928.4E-18,928.4E-18,961.0E-18,995.5E-18,1.026E-15
450.0E-3,600.4E-6,420.1E-6,333.9E-6,966.8E-18,1.011E-15,1.052E-15,814.6E-18,1.252E-15,1.665E-15,814.6E-18,1.252E-15,1.665E-15,1.665E-15,2.592E-15,3.473E-15,36.26E-18,87.66E-18,143.9E-18,928.4E-18,928.4E-18,928.4E-18,966.8E-18,1.011E-15,1.052E-15
500.0E-3,1.128E-3,834.5E-6,656.2E-6,970.5E-18,1.020E-15,1.068E-15,858.2E-18,1.362E-15,1.851E-15,858.2E-18,1.362E-15,1.851E-15,1.745E-15,2.793E-15,3.814E-15,28.87E-18,68.85E-18,111.9E-18,928.4E-18,928.4E-18,928.4E-18,970.5E-18,1.020E-15,1.068E-15
550.0E-3,1.793E-3,1.351E-3,1.050E-3,972.8E-18,1.026E-15,1.078E-15,888.4E-18,1.437E-15,1.977E-15,888.4E-18,1.437E-15,1.977E-15,1.801E-15,2.931E-15,4.044E-15,23.90E-18,56.41E-18,91.01E-18,928.4E-18,928.4E-18,928.4E-18,972.8E-18,1.026E-15,1.078E-15
600.0E-3,2.526E-3,1.909E-3,1.471E-3,974.5E-18,1.030E-15,1.085E-15,910.1E-18,1.491E-15,2.065E-15,910.1E-18,1.491E-15,2.065E-15,1.841E-15,3.029E-15,4.208E-15,20.38E-18,47.72E-18,76.56E-18,928.4E-18,928.4E-18,928.4E-18,974.5E-18,1.030E-15,1.085E-15
650.0E-3,3.266E-3,2.462E-3,1.890E-3,975.6E-18,1.033E-15,1.090E-15,926.4E-18,1.530E-15,2.131E-15,926.4E-18,1.530E-15,2.131E-15,1.871E-15,3.102E-15,4.327E-15,17.78E-18,41.37E-18,66.08E-18,928.4E-18,928.4E-18,928.4E-18,975.6E-18,1.033E-15,1.090E-15
700.0E-3,3.968E-3,2.984E-3,2.289E-3,976.5E-18,1.035E-15,1.093E-15,938.8E-18,1.560E-15,2.180E-15,938.8E-18,1.560E-15,2.180E-15,1.893E-15,3.157E-15,4.418E-15,15.78E-18,36.54E-18,58.18E-18,928.4E-18,928.4E-18,928.4E-18,976.5E-18,1.035E-15,1.093E-15
750.0E-3,4.603E-3,3.461E-3,2.657E-3,977.2E-18,1.037E-15,1.096E-15,948.5E-18,1.584E-15,2.218E-15,948.5E-18,1.584E-15,2.218E-15,1.911E-15,3.200E-15,4.488E-15,14.19E-18,32.76E-18,52.01E-18,928.4E-18,928.4E-18,928.4E-18,977.2E-18,1.037E-15,1.096E-15
800.0E-3,5.160E-3,3.889E-3,2.991E-3,977.7E-18,1.038E-15,1.098E-15,956.3E-18,1.602E-15,2.248E-15,956.3E-18,1.602E-15,2.248E-15,1.925E-15,3.234E-15,4.544E-15,12.91E-18,29.71E-18,47.08E-18,928.4E-18,928.4E-18,928.4E-18,977.7E-18,1.038E-15,1.098E-15
850.0E-3,5.638E-3,4.268E-3,3.289E-3,978.1E-18,1.039E-15,1.100E-15,962.5E-18,1.617E-15,2.272E-15,962.5E-18,1.617E-15,2.272E-15,1.937E-15,3.262E-15,4.588E-15,11.86E-18,27.21E-18,43.05E-18,928.4E-18,928.4E-18,928.4E-18,978.1E-18,1.039E-15,1.100E-15
900.0E-3,6.042E-3,4.601E-3,3.554E-3,978.5E-18,1.040E-15,1.101E-15,967.5E-18,1.629E-15,2.292E-15,967.5E-18,1.629E-15,2.292E-15,1.946E-15,3.283E-15,4.624E-15,10.97E-18,25.12E-18,39.68E-18,928.4E-18,928.4E-18,928.4E-18,978.5E-18,1.040E-15,1.101E-15
950.0E-3,6.381E-3,4.892E-3,3.788E-3,978.8E-18,1.041E-15,1.102E-15,971.7E-18,1.639E-15,2.308E-15,971.7E-18,1.639E-15,2.308E-15,1.954E-15,3.301E-15,4.653E-15,10.21E-18,23.35E-18,36.83E-18,928.4E-18,928.4E-18,928.4E-18,978.8E-18,1.041E-15,1.102E-15
1.000,6.666E-3,5.145E-3,3.993E-3,979.0E-18,1.041E-15,1.103E-15,975.1E-18,1.647E-15,2.321E-15,975.1E-18,1.647E-15,2.321E-15,1.960E-15,3.316E-15,4.676E-15,9.559E-18,21.82E-18,34.39E-18,928.4E-18,928.4E-18,928.4E-18,979.0E-18,1.041E-15,1.103E-15
1.050,6.905E-3,5.365E-3,4.172E-3,979.2E-18,1.042E-15,1.104E-15,977.9E-18,1.654E-15,2.332E-15,977.9E-18,1.654E-15,2.332E-15,1.965E-15,3.328E-15,4.696E-15,8.989E-18,20.49E-18,32.27E-18,928.4E-18,928.4E-18,928.4E-18,979.2E-18,1.042E-15,1.104E-15
1.100,7.109E-3,5.555E-3,4.328E-3,979.4E-18,1.042E-15,1.105E-15,980.2E-18,1.659E-15,2.340E-15,980.2E-18,1.659E-15,2.340E-15,1.969E-15,3.338E-15,4.711E-15,8.487E-18,19.33E-18,30.41E-18,928.4E-18,928.4E-18,928.4E-18,979.4E-18,1.042E-15,1.105E-15
1.150,7.282E-3,5.720E-3,4.464E-3,979.6E-18,1.042E-15,1.105E-15,982.1E-18,1.664E-15,2.348E-15,982.1E-18,1.664E-15,2.348E-15,1.972E-15,3.346E-15,4.724E-15,8.042E-18,18.30E-18,28.77E-18,928.4E-18,928.4E-18,928.4E-18,979.6E-18,1.042E-15,1.105E-15
1.200,7.432E-3,5.861E-3,4.581E-3,979.7E-18,1.043E-15,1.106E-15,983.7E-18,1.667E-15,2.354E-15,983.7E-18,1.667E-15,2.354E-15,1.975E-15,3.352E-15,4.735E-15,7.645E-18,17.38E-18,27.31E-18,928.4E-18,928.4E-18,928.4E-18,979.7E-18,1.043E-15,1.106E-15
