,csb,gds,cgs,cgg,cgd,cdb,w,vds,vsb,l,vgs
0,9.427e-16,3.784e-08,3.659e-16,8.656e-16,3.659e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.0
1,9.427e-16,1.425e-07,3.687e-16,8.669e-16,3.687e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.05
2,9.427e-16,5.392e-07,3.708e-16,8.673e-16,3.708e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.1
3,9.427e-16,2.044e-06,3.726e-16,8.673e-16,3.726e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.15
4,9.429e-16,7.702e-06,3.755e-16,8.693e-16,3.755e-16,9.429e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.2
5,9.439e-16,2.815e-05,3.859e-16,8.856e-16,3.859e-16,9.439e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.25
6,9.483e-16,9.415e-05,4.297e-16,9.63e-16,4.297e-16,9.483e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.3
7,9.582e-16,0.0002669,5.345e-16,1.153e-15,5.345e-16,9.582e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.35
8,9.688e-16,0.0006142,6.533e-16,1.37e-15,6.533e-16,9.688e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.4
9,9.763e-16,0.001153,7.426e-16,1.534e-15,7.426e-16,9.763e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.45
10,9.812e-16,0.001835,8.032e-16,1.645e-15,8.032e-16,9.812e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.5
11,9.845e-16,0.002585,8.443e-16,1.72e-15,8.443e-16,9.845e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.55
12,9.868e-16,0.003339,8.729e-16,1.772e-15,8.729e-16,9.868e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.6
13,9.885e-16,0.004057,8.932e-16,1.809e-15,8.932e-16,9.885e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.65
14,9.897e-16,0.004717,9.078e-16,1.836e-15,9.078e-16,9.897e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.7
15,9.906e-16,0.005311,9.183e-16,1.855e-15,9.183e-16,9.906e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.75
16,9.914e-16,0.005839,9.26e-16,1.869e-15,9.26e-16,9.914e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.8
17,9.92e-16,0.006305,9.315e-16,1.878e-15,9.315e-16,9.92e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.85
18,9.924e-16,0.006715,9.354e-16,1.885e-15,9.354e-16,9.924e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.9
19,9.928e-16,0.007075,9.379e-16,1.889e-15,9.379e-16,9.928e-16,2.2999999999999996e-06,0.0,0.0,3e-08,0.95
20,9.932e-16,0.007391,9.395e-16,1.891e-15,9.395e-16,9.932e-16,2.2999999999999996e-06,0.0,0.0,3e-08,1.0
21,9.935e-16,0.007668,9.403e-16,1.892e-15,9.403e-16,9.935e-16,2.2999999999999996e-06,0.0,0.0,3e-08,1.05
22,9.937e-16,0.007912,9.405e-16,1.892e-15,9.405e-16,9.937e-16,2.2999999999999996e-06,0.0,0.0,3e-08,1.1
23,9.939e-16,0.008127,9.402e-16,1.89e-15,9.402e-16,9.939e-16,2.2999999999999996e-06,0.0,0.0,3e-08,1.15
24,9.941e-16,0.008317,9.395e-16,1.889e-15,9.395e-16,9.941e-16,2.2999999999999996e-06,0.0,0.0,3e-08,1.2
25,9.427e-16,4.329e-09,3.659e-16,1.025e-15,3.659e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.0
26,9.427e-16,1.975e-08,3.687e-16,1.021e-15,3.687e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.05
27,9.427e-16,9.066e-08,3.709e-16,1.017e-15,3.709e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.1
28,9.428e-16,4.181e-07,3.731e-16,1.014e-15,3.731e-16,9.428e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.15
29,9.432e-16,1.929e-06,3.779e-16,1.015e-15,3.779e-16,9.432e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.2
30,9.454e-16,8.766e-06,3.995e-16,1.048e-15,3.995e-16,9.454e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.25
31,9.547e-16,3.714e-05,4.93e-16,1.214e-15,4.93e-16,9.547e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.3
32,9.762e-16,0.0001307,7.21e-16,1.627e-15,7.21e-16,9.762e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.35
33,9.994e-16,0.0003475,9.826e-16,2.105e-15,9.826e-16,9.994e-16,2.2999999999999996e-06,0.0,0.0,6e-08,0.4
34,1.016e-15,0.0007086,1.18e-15,2.466e-15,1.18e-15,1.016e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.45
35,1.027e-15,0.001189,1.314e-15,2.712e-15,1.314e-15,1.027e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.5
36,1.034e-15,0.001742,1.405e-15,2.879e-15,1.405e-15,1.034e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.55
37,1.039e-15,0.002325,1.468e-15,2.995e-15,1.468e-15,1.039e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.6
38,1.043e-15,0.002904,1.513e-15,3.076e-15,1.513e-15,1.043e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.65
39,1.046e-15,0.003457,1.545e-15,3.135e-15,1.545e-15,1.046e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.7
40,1.048e-15,0.003972,1.568e-15,3.177e-15,1.568e-15,1.048e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.75
41,1.049e-15,0.004443,1.585e-15,3.206e-15,1.585e-15,1.049e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.8
42,1.051e-15,0.004868,1.597e-15,3.228e-15,1.597e-15,1.051e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.85
43,1.052e-15,0.005248,1.606e-15,3.242e-15,1.606e-15,1.052e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.9
44,1.053e-15,0.005586,1.611e-15,3.251e-15,1.611e-15,1.053e-15,2.2999999999999996e-06,0.0,0.0,6e-08,0.95
45,1.053e-15,0.005886,1.615e-15,3.256e-15,1.615e-15,1.053e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.0
46,1.054e-15,0.00615,1.617e-15,3.258e-15,1.617e-15,1.054e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.05
47,1.054e-15,0.006381,1.617e-15,3.257e-15,1.617e-15,1.054e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.1
48,1.055e-15,0.006584,1.616e-15,3.255e-15,1.616e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.15
49,1.055e-15,0.00676,1.615e-15,3.25e-15,1.615e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,6e-08,1.2
50,9.427e-16,1.622e-09,3.659e-16,1.186e-15,3.659e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.0
51,9.427e-16,8.011e-09,3.687e-16,1.177e-15,3.687e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.05
52,9.427e-16,3.981e-08,3.71e-16,1.168e-15,3.71e-16,9.427e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.1
53,9.428e-16,1.989e-07,3.734e-16,1.161e-15,3.734e-16,9.428e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.15
54,9.434e-16,9.961e-07,3.799e-16,1.161e-15,3.799e-16,9.434e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.2
55,9.466e-16,4.935e-06,4.109e-16,1.208e-15,4.109e-16,9.466e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.25
56,9.602e-16,2.298e-05,5.483e-16,1.45e-15,5.483e-16,9.602e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.3
57,9.929e-16,8.816e-05,8.938e-16,2.077e-15,8.938e-16,9.929e-16,2.2999999999999996e-06,0.0,0.0,9e-08,0.35
58,1.029e-15,0.0002466,1.3e-15,2.819e-15,1.3e-15,1.029e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.4
59,1.055e-15,0.0005155,1.61e-15,3.386e-15,1.61e-15,1.055e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.45
60,1.072e-15,0.0008767,1.82e-15,3.772e-15,1.82e-15,1.072e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.5
61,1.084e-15,0.001298,1.963e-15,4.034e-15,1.963e-15,1.084e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.55
62,1.091e-15,0.001749,2.062e-15,4.216e-15,2.062e-15,1.091e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.6
63,1.097e-15,0.002202,2.132e-15,4.344e-15,2.132e-15,1.097e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.65
64,1.101e-15,0.002641,2.183e-15,4.435e-15,2.183e-15,1.101e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.7
65,1.105e-15,0.003054,2.219e-15,4.501e-15,2.219e-15,1.105e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.75
66,1.107e-15,0.003436,2.246e-15,4.548e-15,2.246e-15,1.107e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.8
67,1.109e-15,0.003784,2.265e-15,4.581e-15,2.265e-15,1.109e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.85
68,1.111e-15,0.004098,2.278e-15,4.604e-15,2.278e-15,1.111e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.9
69,1.112e-15,0.004379,2.287e-15,4.618e-15,2.287e-15,1.112e-15,2.2999999999999996e-06,0.0,0.0,9e-08,0.95
70,1.113e-15,0.004628,2.292e-15,4.626e-15,2.292e-15,1.113e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.0
71,1.114e-15,0.004849,2.295e-15,4.629e-15,2.295e-15,1.114e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.05
72,1.115e-15,0.005042,2.296e-15,4.628e-15,2.296e-15,1.115e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.1
73,1.116e-15,0.00521,2.295e-15,4.624e-15,2.295e-15,1.116e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.15
74,1.117e-15,0.005356,2.292e-15,4.617e-15,2.292e-15,1.117e-15,2.2999999999999996e-06,0.0,0.0,9e-08,1.2
